Depth (cm),Age (kyr BP),Density (g/cc),Fractional porosity,Density (g/cc).1,Dry bulk density,sedimentation rate,MAR(mg/cm²/yr)
299,0,1.7673,0.57,1.7673,0.759939,33.02,25.09318578
300,0,1.7783,0.5637,1.7783,0.77587229,33.02,25.61930302
301,11.1195,1.7492,0.5805,1.7492,0.7337894,33.02,24.22972599
304,11.159,1.7516,0.5791,1.7516,0.73724844,33.02,24.34394349
305,11.171,1.7453,0.5828,1.7453,0.72813916,33.02,24.04315506
306,11.183,1.7759,0.565,1.7759,0.7725165,33.02,25.50849483
307,11.195,1.7746,0.5658,1.7746,0.77053132,33.02,25.44294419
308,11.207,1.7485,0.5809,1.7485,0.73279635,33.02,24.19693548
309,11.219,1.753,0.5783,1.753,0.7392401,33.02,24.4097081
310,11.231,1.7448,0.5831,1.7448,0.72740712,33.02,24.0189831
311,11.243,1.7567,0.5762,1.7567,0.74448946,33.02,24.58304197
312,11.255,1.7898,0.5569,1.7898,0.79306038,33.02,26.18685375
313,11.267,1.7647,0.5715,1.7647,0.75617395,33.02,24.96886383
314,11.2785,1.7909,0.5563,1.7909,0.79462233,33.02,26.23842934
315,11.29,1.7727,0.5669,1.7727,0.76775637,33.02,25.35131534
316,11.301,1.7871,0.5585,1.7871,0.78900465,33.02,26.05293354
317,11.3125,1.7815,0.5618,1.7815,0.7806533,33.02,25.77717197
318,11.3235,1.7705,0.5681,1.7705,0.76467895,33.02,25.24969893
319,11.335,1.7622,0.573,1.7622,0.7524594,33.02,24.84620939
320,11.346,1.7716,0.5675,1.7716,0.766217,33.02,25.30048534
321,11.3575,1.7742,0.566,1.7742,0.7700028,33.02,25.42549246
322,11.3685,1.769,0.569,1.769,0.762439,33.02,25.17573578
323,11.384,1.7675,0.5699,1.7675,0.76020175,33.02,25.10186179
324,11.4,1.7664,0.5705,1.7664,0.7586688,33.02,25.05124378
325,11.416,1.7854,0.5595,1.7854,0.7864687,33.02,25.96919647
326,11.4325,1.7649,0.5714,1.7649,0.75643614,33.02,24.97752134
327,11.4485,1.7627,0.5727,1.7627,0.75320171,33.02,24.87072046
328,11.4645,1.7726,0.5669,1.7726,0.76771306,33.02,25.34988524
329,11.481,1.7646,0.5716,1.7646,0.75595464,33.02,24.96162221
330,11.497,1.7765,0.5647,1.7765,0.77331045,33.02,25.53471106
331,11.5135,1.7909,0.5563,1.7909,0.79462233,33.02,26.23842934
332,11.5295,1.7987,0.5518,1.7987,0.80617734,33.02,26.61997577
333,11.546,1.7595,0.5746,1.7595,0.7484913,33.02,24.71518273
334,11.5625,1.7958,0.5535,1.7958,0.8018247,33.02,26.47625159
335,11.5785,1.7867,0.5588,1.7867,0.78829204,33.02,26.02940316
336,11.595,1.7712,0.5678,1.7712,0.76551264,33.02,25.27722737
337,11.6115,1.8124,0.5439,1.8124,0.82663564,33.02,27.29550883
338,11.628,1.7838,0.5604,1.7838,0.78415848,33.02,25.89291301
339,11.644,1.7986,0.5519,1.7986,0.80595266,33.02,26.61255683
340,11.6605,1.8099,0.5453,1.8099,0.82296153,33.02,27.17418972
341,11.683,1.7936,0.5547,1.7936,0.79869008,33.02,26.37274644
342,11.7055,1.8093,0.5457,1.8093,0.82196499,33.02,27.14128397
343,11.727,1.8065,0.5473,1.8065,0.81780255,33.02,27.0038402
344,11.7495,1.8169,0.5413,1.8169,0.83341203,33.02,27.51926523
345,11.772,1.8181,0.5405,1.8181,0.83541695,33.02,27.58546769
346,11.7945,1.8347,0.5309,1.8347,0.86065777,33.02,28.41891957
347,11.817,1.8124,0.5439,1.8124,0.82663564,33.02,27.29550883
348,11.839,1.7728,0.5668,1.7728,0.76797696,33.02,25.35859922
349,11.862,1.7698,0.5686,1.7698,0.76349172,33.02,25.21049659
350,11.89,1.738,0.587,1.738,0.717794,33.02,23.70155788
351,11.918,1.7336,0.5895,1.7336,0.7116428,33.02,23.49844526
352,11.9465,1.7263,0.5938,1.7263,0.70122306,33.02,23.15438544
353,11.9745,1.7579,0.5755,1.7579,0.74622855,33.02,24.64046672
354,12.0025,1.788,0.558,1.788,0.790296,33.02,26.09557392
355,12.0305,1.8005,0.5508,1.8005,0.8087846,33.02,26.70606749
356,12.0585,1.811,0.5447,1.811,0.8245483,33.02,27.22658487
357,12.0865,1.8271,0.5353,1.8271,0.84905337,33.02,28.03574228
358,12.12,1.8182,0.5405,1.8182,0.8354629,33.02,27.58698496
359,12.171,1.8089,0.5459,1.8089,0.82142149,33.02,27.1233376
360,12.222,1.7997,0.5512,1.7997,0.80770536,33.02,26.67043099
361,12.273,1.7689,0.5691,1.7689,0.76221901,33.02,25.16847171
362,12.324,1.7833,0.5608,1.7833,0.78322536,33.02,25.86210139
363,12.3745,1.7488,0.5807,1.7488,0.73327184,33.02,24.21263616
364,12.4255,1.7705,0.5681,1.7705,0.76467895,33.02,25.24969893
365,12.4765,1.778,0.5638,1.778,0.7755636,33.02,25.60911007
366,12.527,1.7532,0.5782,1.7532,0.73949976,33.02,24.41828208
367,12.5895,1.7254,0.5943,1.7254,0.69999478,33.02,23.11382764
368,12.6715,1.7387,0.5866,1.7387,0.71877858,33.02,23.73406871
369,12.7535,1.7552,0.577,1.7552,0.7424496,33.02,24.51568579
370,12.835,1.7783,0.5637,1.7783,0.77587229,33.02,25.61930302
371,12.9175,1.7982,0.5521,1.7982,0.80541378,33.02,26.59476302
372,12.9995,1.7968,0.5529,1.7968,0.80334928,33.02,26.52659323
373,13.081,1.8016,0.5501,1.8016,0.81053984,33.02,26.76402552
374,13.163,1.7883,0.5578,1.7883,0.79078626,33.02,26.11176231
